Character;Sentence
Hermione;If you're talking about Malfoy...
Ron;Of course. You heard him.
Ron;You'll be next, Mudbloods.
Hermione;I heard him.
Hermione;But Malfoy, the Heir of Slytherin?
Harry;Maybe Ron's right, Hermione.
Harry;I mean, look at his family.
Harry;The whole lot of them have been in Slytherin for centuries.
Ron;Crabbe and Goyle must know.
Ron;Maybe we could trick them into telling.
Hermione;Even they aren't that thick.
Hermione;But there might be another way.
Hermione;Mind you, it would be difficult.
Hermione;Not to mention we'd be breaking about 50 school rules...
Hermione;and it'll be dangerous.
Hermione;Very dangerous.
Hermione;Here it is.
Hermione;The Polyjuice Potion.
Hermione;Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another.
Ron;You mean if Harryand I drink that stuff, we'll turn into Crabbe and Goyle?
Hermione;Yes 
Ron;Wicked! Malfoy will tell us anything.
Hermione;Exactly.
Hermione;But it's tricky. 
Hermione;I've never seen a more complicated potion.
Harry;How long will it take to make?
Hermione;A month.
Harry;A month?
Harry;But, Hermione,
Harry;if Malfoy is the Heir of Slytherin he could attack half the Muggle-borns in the school by then.
Hermione;I know.
Hermione;But it's the only plan we've got.
Lee Jordan;Another goal for Slytherin!
Lee Jordan;They lead Gryffindor 90 to 30.
SLYTHERINS;Yeah! Yeah!
Draco;All right there, Scarhead?
WOOD;Watch yourself, Harry!
Harry;Wood, look out!
Hagrid;Blimey! Harry's got himself a rogue Bludger.
Hagrid;That's been tampered with, that has.
Ron;I'll stop it.
Hermione;No! Even with a proper wand, it's too risky.
Hermione;You could hit Harry.
Draco;Training for the ballet, Potter!!
Draco;You'll never catch me, Potter.
Hermione;Let's go.
Lee Jordan;HarryPotter has caught the Snitch.
Lee Jordan;Gryffindor wins!
Hermione;Finite Incantatem!
Harry;Thank you.
Hermione;Are you okay?
Harry;No. I think my arm is broken.
Gilderoy Lockhart;Not to worry, Harry. 
Gilderoy Lockhart;I will fix that arm of yours straight away.
Harry;No, Not you.
Gilderoy Lockhart;Boy doesn't know what he's saying.
Gilderoy Lockhart;This won't hurt a bit.
Gilderoy Lockhart;Brackium Emendo!
Gilderoy Lockhart;Yes, well, that can sometimes happen but the point is you can no longer feel any pain, and, very clearly, the bones are not broken.
Hagrid;Broken? There's no bones left.
Gilderoy Lockhart;Much more flexible, though.
Madam Pomfrey;Mr. Malfoy, stop making such a fuss.
Madam Pomfrey;You can go. Out of my way.
Madam Pomfrey;Should have been brought straight to me.
Madam Pomfrey;I can mend bones in a heartbeat, but growing them back...
Hermione;You will be able to, won't you?
Madam Pomfrey;I'll be able to, certainly.
Madam Pomfrey;But it'll be painful.
Madam Pomfrey;You're in for a rough night, Potter.
Madam Pomfrey;Regrowing bones is a nasty business.
Madam Pomfrey;What do you expect?
Madam Pomfrey;Pumpkin juice?
Voice;Kill. Kill.!!
Voice;Time to kill..
Dobby;Hello.
Harry;Dobby?
Dobby;HarryPotter should have listened to Dobby.
Dobby;HarryPotter should have gone back home when he missed the train.
Harry;It was you. 
Harry;You stopped the barrier from letting Ronand me through.
Dobby;Indeed. Yes, sir.
Harry;You nearly got Ronand me expelled.
Dobby;At least you would be away from here.
Dobby;HarryPotter must go home.
Dobby;Dobbythought his Bludger would be enough to make HarryPotter see...
Harry;Your Bludger? You made that Bludger chase after me?
Dobby;Dobbyfeels most aggrieved, sir.
Dobby;Dobbyhad to iron his hands.
Harry;You better clear off before my bones come back Dobby, or I might strangle you.
Dobby;Dobbyis used to death threats, sir.
Dobby;Dobbygets them five times a day at home.
Harry;I don't suppose you could tell me why you're trying to kill me?
Dobby;Not kill you, sir.
Dobby;Never kill you.
Dobby;Dobbyremembers how it was before HarryPotter triumphed over He-Who-Must-Not-Be-Named.
Dobby;We house-elves were treated like vermin, sir.
Dobby;Of course, Dobbyis still treated like vermin.
Harry;Why do you wear that thing, Dobby?
Dobby;This, sir? It is a mark of the house-elf's enslavement.
Dobby;Dobbycan only be freed if his master presents him with clothes.
Dobby;Listen.
Dobby;Listen!
Dobby;Terrible things are about to happen at Hogwarts.
Dobby;HarryPotter must not stay here...now that history is to repeat itself.
Harry;Repeat itself? You mean this has happened before?
Dobby;Oahh! I shouldn't have said that.
Dobby;Bad Dobby! Bad!
Harry;Stop it!
Harry;Stop it, Dobby!
Harry;Tell me Dobbywhen did this happen before?
Harry;Who's doing it now?
Dobby;Dobbycannot say, sir. 
Dobby;Dobbyonly wants HarryPotter to be safe.
Harry;No, Dobby. Tell me.
Harry;Who is it?
Madam Pomfrey;Put him here.
Madam Pomfrey;What happened?
Dumbledore;There's been another attack.
Mcgonagall;I think he's been Petrified, Madam Pomfrey.
Mcgonagall;Look. Perhaps he managed to take a picture of his attacker.
Mcgonagall;What can this mean, Albus?
Dumbledore;It means that our students are in great danger.
Mcgonagall;What should I tell the staff?
Dumbledore;The truth.
Dumbledore;Tell them Hogwarts is no longer safe.
Dumbledore;It is as we feared, Minerva
Dumbledore;The Chamber of Secrets has indeed been opened again.
Hermione;Again? You mean the Chamber of Secrets has been opened before?
Ron;Of course.
Ron;Don't you see?
Ron;Lucius Malfoy must have opened it when he was at school here.
Ron;Now he's taught Draco how to do it.
Hermione;Maybe.
Hermione;We'll have to wait for the Polyjuice Potion to know for sure.
Ron;Enlighten me. Why are we brewing this potion in broad daylight in the middle of the girls' lavatory?
Ron;Don't you think we'll get caught?
Hermione;No. No one ever comes in here.
Ron;Why?
Hermione;Moaning Myrtle.
Ron;Who?
Hermione;Moaning Myrtle.
Ron;Who's Moaning Myrtle?
Moaning Myrtle;I'm Moaning Myrtle.
Moaning Myrtle;I wouldn't expect you to know me.
Moaning Myrtle;Who would ever talk about ugly, miserable moping Moaning Myrtle? Aaaaaa…
Hermione;She's a little sensitive.
Gilderoy Lockhart;Gather round!
Gilderoy Lockhart;Gather round.
Gilderoy Lockhart;Can everybody see me?
Gilderoy Lockhart;Can you all hear me?
Gilderoy Lockhart;Excellent.
Gilderoy Lockhart;In light of the dark events of recent weeks Professor Dumbledore has granted me permission to start this Dueling Club to train you all up.
Gilderoy Lockhart;In case you ever need to defend yourselves as I myself have done on countless occasions.
Gilderoy Lockhart;For full details, see my published works.
Gilderoy Lockhart;Let me introduce my assistant Professor Snape.
Gilderoy Lockhart;He has sportingly agreed to help with a short demonstration.
Gilderoy Lockhart;I don't want any of you youngsters to worry.
Gilderoy Lockhart;You'll still have your Potions master when I'm through with him. Never fear.
Gilderoy Lockhart;One.Two. Three!
Snape;Expelliarmus!
Hermione;Do you think he's all right?
Ron;Who cares?
Gilderoy Lockhart;An excellent idea to show them that, Professor Snape...
Gilderoy Lockhart;but if you don't mind me saying, it was obvious what you were about to do.
Gilderoy Lockhart;If I had wanted to stop you, it would have been only too easy.
Snape;Perhaps it would be prudent to first teach the students to block unfriendly spells, professor.
Gilderoy Lockhart;An excellent suggestion, Professor Snape..
Gilderoy Lockhart;Let's have a volunteer pair. 
Gilderoy Lockhart;Potter, Weasley, how about you?
Snape;Weasley's wand causes devastation with the simplest spells.
Snape;We'll be sending Potter to the hospital wing in a matchbox.
Snape;Might I suggest someone from my own house?
Snape;Malfoy, perhaps?
Gilderoy Lockhart;Good luck, Potter.
Harry;Thank you, sir.
Gilderoy Lockhart;Wands at the ready.
Draco;Scared, Potter?
Harry;You wish.
Gilderoy Lockhart;On the count of three cast your charms to disarm your opponent. Only to disarm.
Gilderoy Lockhart;We don't want any accidents here.
Gilderoy Lockhart;One. Two...
Draco;Everte Statum!
Harry;Rictusempra!
Gilderoy Lockhart;I said disarm only.
Draco;Serpensortia!
Snape;Don't move, Potter.
Snape;I'll get rid of it for you.
Gilderoy Lockhart;Allow me, Professor Snape.
Gilderoy Lockhart;Alarte Ascendare!
Snape;Vipera Evanesca.
Ron;You're a Parselmouth?
Ron;Why didn't you tell us?
Harry;I'm a what?
Hermione;You can talk to snakes.
Harry;I know. I accidentally set a python on my cousin Dudley at the zoo once.
Harry;Once. But so what?
Harry;I bet loads of people here can do it.
Hermione;No, they can't.
Hermione;It's not a very common gift, Harry.
Hermione;This is bad.
Harry;What's bad? If I hadn't told that snake not to attack Justin...
Ron;That's what you said to it.
Harry;You were there. You heard me.
Ron;I heard you speaking Parseltongue.
Ron;Snake language.
Harry;I spoke a different language?
Harry;But I didn't realize...
Harry;How can I speak a language without knowing I can?
Hermione;I don't know, but it sounded like you were egging the snake on or something.
Hermione;Harry, listen to me.
Hermione;There's a reason the symbol of Slytherin house is a serpent.
Hermione;Salazar Slytherin was a Parselmouth.
Hermione;He could talk to snakes too.
Ron;Exactly.
Ron;Now the whole school's gonna think you're his great-great-great grandson.
Harry;But I'm not.
Harry;I can't be.
Hermione;He lived a thousand years ago.
Hermione;For all we know, you could be.
Harry;I'll see you back in the common room.
Voice;I want blood.
Voice;They all must die.
Voice;Kill. Kill. Kill.
Voice;Time to kill.
Filch;Caught in the act.
Filch;I'll have you out this time, Potter.
Filch;Mark my words.
Harry;No. Mr. Filch! You don't understand...
Harry;Professor I swear I didn't.
Mcgonagall;This is out of my hands, Potter.
Mcgonagall;Professor Dumbledore will be waiting for you.
Mcgonagall;Sherbet Lemon.
Harry;Professor Dumbledore?
SORTING HAT;Bee in your bonnet, Potter?
Harry;I...I..I was just wondering if you put me in the right house.
SORTING HAT;Yes. You were particularly difficult to place.
SORTING HAT;But I stand by what I said last year.
SORTING HAT;You would have done well in Slytherin.
Harry;You're wrong.
Dumbledore;Harry?
Harry;Professor.
Harry;Your bird...There was nothing I could do.
Harry;He just caught fire.
Dumbledore;And about time too.
Dumbledore;He's been looking dreadful for days.
Dumbledore;Pity you had to see him on a burning day.
Dumbledore;Fawkes is a phoenix, Harry.
Dumbledore;They burst into flame when it is time for them to die...
Dumbledore;and then they are reborn from the ashes.
Dumbledore;Fascinating creatures, phoenixes.
Dumbledore;They can carry immensely heavy loads.
Dumbledore;Their tears have healing powers.
Hagrid;Professor Dumbledore, sir!
Hagrid;Wait! Listen!
Hagrid;Professor Dumbledore, sir, it wasn't Harry.
Hagrid;I'd be prepared to swear it in front of the Ministry of Magic.
Dumbledore;Hagriiid!! Relax.
Dumbledore;I do not believe that Harryattacked anyone.
Hagrid;Of course you don't.
Hagrid;Ohh! Oww! Right. Well, I'll...
Hagrid;I'll just wait outside, then.
Dumbledore;Yes.
Harry;You don't think it was me, professor?
Dumbledore;No, Harry. I do not think it was you.
Dumbledore;But I must ask you is there something you wish to tell me?
Harry;No, sir. Nothing
Dumbledore;Very well, then.
Dumbledore;Off you go.
Hermione;Everything's set. 
Hermione;We just need a bit of who you're changing into.
Harry;Crabbe and Goyle.
Hermione;We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.
Ron;How?
Hermione;I've got it all worked out.
Hermione;I filled these with a simple Sleeping Draught.
Hermione;Simple, but powerful.
Hermione;Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs and put on their uniforms.
Ron;Whose hair are you ripping out, then?
Hermione;I've already got mine.
Hermione;Millicent Bulstrode. Slytherin.
Hermione;I got this off her robes.
Hermione;I'm going to go check on the Polyjuice Potion.
Hermione;Make sure that Crabbe and Goyle find these.
Harry;Ron, maybe I should do it.
Ron;Yeah. Right.
Harry;Wingardium Leviosa.
Ron;How thick could you get?
Harry;Come on, let's get them.
Hermione;We'll have exactly one hour before we change back into ourselves.
Hermione;Add the hairs.
Ron;Essence of Crabbe.
Hermione;Cheers.
Ron;I think I'm gonna be sick.
Hermione;Me too.
Ron;Harry?
Harry;Ron.
Ron;Bloody hell!
Harry;We still sound like ourselves.
Harry;You need to sound more like Crabbe.
Ron;Bloody hell.
Harry;Excellent.
Ron;But where's Hermione?
Hermione;I...I don't think I'm going.
Hermione;You go on without me.
Harry;Hermione, are you okay?
Hermione;Just go. You're wasting time.
Harry;Come on.
Harry;I think the Slytherin common room's this way.
Percy;Excuse me.
Ron;What are you doing d...?
Ron;I mean, what are you doing down here?
Percy;I happen to be a school prefect.
Percy;You, on the other hand, have no business wandering the corridors at night.
Percy;What are your names again?
Harry;I'm...
Draco;Crabbe, Goyle, where have you been?
Draco;Pigging out in the Great Hall all this time?
Draco;Why are you wearing glasses?
Harry;Ah- um.. Reading.
Draco;Reading?
Draco;I didn't know you could read.
Draco;And what are you doing down here, Weasley?
Percy;Mind your attitude, Malfoy.
Draco;Well, sit down.
Draco;You'd never know the Weasleys were pure-bloods, the way they behave.
Draco;They're an embarrassment to the wizarding world. All of them.
Draco;What's wrong with you, Crabbe?
Ron;Stomachache.
Draco;I'm surprised the Daily Prophet hasn't done a report on all these attacks.
Draco;I suppose Dumbledore is trying to hush it all up.
Draco;Father always said Dumbledore was the worst thing that ever happened to this place.
Harry;You're wrong!
Draco;What?
Draco;You think there's someone here who's worse than Dumbledore?
Draco;Well? Do you?
Harry;HarryPotter?
Draco;Good one, Goyle.
Draco;You're absolutely right.
Draco;Saint Potter.
Draco;And people actually think that he's the Heir of Slytherin?
Harry;But then you must have some idea who's behind it all.
Draco;You know I don't, Goyle.
Draco;I told you yesterday.
Draco;How many times do I have to tell you?
Draco;Is this yours?
Draco;But my father did say this:
Draco;It's been 50 years since the Chamber was opened.
Draco;He wouldn't tell me who opened it.
Draco;Only that they were expelled.
Draco;The last time the Chamber of Secrets was opened, a Mudblood died.
Draco;So it's only a matter of time before one of them is killed this time.
Draco;As for me I hope it's Granger.
Draco;What's the matter with you two?
Draco;You're acting very odd.
Harry;It's his stomachache.
Harry;Calm down.
Ron;Scar!
Harry;Hair!
Draco;Hey! Where are you going?
Ron;That was close.
Harry;Hermione, come out.
Harry;We've got loads to tell you.
Hermione;Go away.
Moaning Myrtle;Wait till you see. It's awful.
Harry;Hermione?
Harry;Are you okay?
Hermione;Do you remember me telling you that the Polyjuice Potion was only for human transformations?
Hermione;It was cat hair I plucked off Millicent Bulstrode's robes.
Hermione;Look at my face.
Ron;Look at your tail.
Ron;Have you spoken to Hermione?
Harry;She should be out of hospital in a few days when she stops coughing up fur balls.
Harry;What's this?
Ron;Yuck!
Harry;Looks like Moaning Myrtle's flooded the bathroom.
Moaning Myrtle;Ohh-Uhh..Come to throw something else at me?
Harry;Why would I throw something at you?
Moaning Myrtle;Don't ask me. Here I am, minding my own business and someone thinks it's funny to throw a book at me.
Ron;But it can't hurt if someone throws something at you.
Ron;I mean, it'll just go right through you.
Moaning Myrtle;SURE! Let's all throw books at Myrtle because she can't feel it.
Moaning Myrtle;Ten points if you get it through her stomach!
Moaning Myrtle;Fifty points if it goes through her head!
Harry;But who threw it at you, anyway?
Moaning Myrtle;I don't know. I didn't see them.
Moaning Myrtle;I was just sitting in the U-bend, thinking about death and it fell through the top of my head.
Moaning Myrtle;Whoo-oooh-whoooo...
Harry;"""Tom Marvolo Riddle."""
Harry;My name is HarryPotter.
Diary;Hello HarryPotter, my name is Tom Riddle.
Harry;Do you know anything about the Chamber of Secrets?
Diary;Yes.
Harry;Can you tell me?
Diary;No. But I can show you.
Diary;Let me take you back fifty years ago.
Diary;13th June..
Harry;Excuse me. 
Harry;Could you tell me what's going on here?
Harry;Are you Tom Riddle?
Harry;Hello, can you hear me?
Dumbledore;Riddle! Come.
Tom Riddle;Professor Dumbledore.
Harry;Dumbledore?
Dumbledore;It is not wise to be wandering around this late hour, Tom.
Tom Riddle;Yes, professor. I suppose I...
Tom Riddle;I had to see for myself if the rumors were true.
Dumbledore;I'm afraid they are, Tom.
Dumbledore;They are true.
Tom Riddle;About the school as well?
Tom Riddle;I don't have a home to go to.
Tom Riddle;They wouldn't really close Hogwarts, would they, professor?
Dumbledore;I understand, Tom, but I'm afraid Headmaster Dippet may have no choice.
Tom Riddle;Sir, if it all stopped, if the person responsible was caught...
Dumbledore;Is there something you wish to tell me?
Tom Riddle;No, sir. Nothing.
Dumbledore;Very well, then. Off you go.
Tom Riddle;Good night, sir.
Hagrid;Let's get you out of there.
Tom Riddle;Evening, Hagrid.
Tom Riddle;I'm going to have to turn you in Hagrid
Tom Riddle;I don't think you meant it to kill anyone...
Hagrid;You can't. You don't understand.
Tom Riddle;The dead girl's parents will be here tomorrow. 
Tom Riddle;The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.
Hagrid;It wasn't him.
Hagrid;Aragog never killed no one. Never.
Tom Riddle;Monsters don't make good pets, Hagrid.
Tom Riddle;Now, stand aside.
Hagrid;No!
Tom Riddle;Stand aside, Hagrid.
Hagrid;No!
Tom Riddle;Cistem Aperio!
Tom Riddle;Arania Exumai!
Hagrid;Aragog! Aragog!
Tom Riddle;I can't let you go.
Tom Riddle;They'll have your wand for this, Hagrid.
Tom Riddle;You'll be expelled.
Harry;Hagrid!
Harry;HAAGRIIID!
Harry;Wow!
Harry;It was Hagrid. 
Harry;Hagrid opened the Chamber of Secrets 50 years ago.
Hermione;It can't be Hagrid.
Hermione;It just can't be.
Ron;We don't even know this Tom Riddle.
Ron;He sounds like a dirty, rotten snitch.
Harry;The monster had killed somebody, Ron.
Harry;What would any of us have done?
Hermione;Look, Hagrid's our friend. 
Hermione;Why don't we just go and ask him about it?
Ron;That would be a cheerful visit.
Ron;"Hello, Hagrid. Tell us, have you been setting anything mad and hairy loose in the castle lately?"
Hagrid;Mad and hairy? You wouldn't be talking about me, now, would you?
Harry-Ron-Hermione;No.
Harry;What's that you've got, Hagrid?
Hagrid;It's Flesh-Eating Slug Repellent.
Hagrid;For the Mandrakes, you know.
Hagrid;Now, according to Professor Sprout, they've still got a bit of growing to do.
Hagrid;But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Petrified.
Hagrid;In the meantime, though, you three had best be looking after yourselves.
Hagrid;All right?
Hagrid;Hello, Neville.
Neville;Harry, I don't know who did it, but you'd better come.
Neville;Come on!
Hermione;It had to be a Gryffindor.
Hermione;Nobody else knows our password.
Hermione;Unless it wasn't a student.
Ron;Whoever it was, they must have been looking for something.
Harry;And they found it.
Harry;Tom Riddle's diary is gone.
WOOD;All right, listen up.
WOOD;We play our game, Hufflepuff doesn't stand a chance.
WOOD;We're stronger, quicker and smarter.
Fred;Not to mention they're dead scared that Harrywill Petrify them if they fly anywhere near him.
WOOD;Well, that too.
WOOD;Professor McGonagall.
Mcgonagall;This match has been canceled.
WOOD;We can't cancel Quidditch.
Mcgonagall;Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.
Mcgonagall;Potter, you and I will find Mr. Weasley.
Mcgonagall;There's something the both of you have to see.
Mcgonagall;I warn you.
Mcgonagall;This could be a wee bit of a shock.
Ron;Hermione!
Mcgonagall;She was found near the library along with this.
Mcgonagall;Does it mean anything to either of you?
Harry;No.
Mcgonagall;Could I have your attention, please?
Mcgonagall;Because of recent events, these new rules will be put into effect immediately:
Mcgonagall;"All students will return to their house common rooms by 6:00 every evening."
Mcgonagall;All students will be escorted to each lesson by a teacher.
Mcgonagall;No exceptions.
Mcgonagall;I should tell you this:
Mcgonagall;Unless the culprit behind these attacks is caught it is likely the school will be closed.
Harry;We've got to talk to Hagrid, Ron.
Harry;I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.
Ron;But you heard McGonagall.
Ron;We're not allowed to leave the tower except for class.
Harry;I think it's time to get my dad's old cloak out again.
Hagrid;Who's there?
Hagrid;Hello? Hello?
Harry;What's that for?
Hagrid;Nothing. I was expecting... It doesn't matter. Come on in.
Hagrid;I just made a pot of tea.
Harry;Hagrid, are you okay?
Hagrid;I'm fine. I'm all right.
Harry;Did you hear about Hermione?
Hagrid;Oh yeah. I heard about that, all right.
Harry;Look, we have to ask you something.
Harry;Do you know who's opened the Chamber of Secrets?
Hagrid;What you had to understand about that is...
Hagrid;Quick, under the cloak.
Hagrid;Don't say a word.
Hagrid;Be quiet, both of you.
Hagrid;Professor Dumbledore, sir.
Dumbledore;Good evening, Hagrid.
Dumbledore;I wonder, could we...?
Hagrid;Of course. Come in. Come in.
Ron;That's Dad's boss.
Ron;Cornelius Fudge, Minister of Magic.
FUDGE;Bad business, Hagrid, very bad business.
FUDGE;Had to come.
FUDGE;Three attacks on Muggle-borns.
FUDGE;Things have gone far enough.
FUDGE;The Ministry's got to act.
Hagrid;But I never...
Hagrid;You know I never, professor.
Dumbledore;I want it understood, Cornelius that Hagrid has my full confidence.
FUDGE;Albus, look, Hagrid's record is against him.
FUDGE;I've got to take him.
Hagrid;Take me? Take me where?
Hagrid;Not Azkaban prison.
FUDGE;I'm afraid we have no choice, Hagrid.
Lucius Malfoy;Already here, Fudge?
Lucius Malfoy;Good.
Hagrid;What are you doing here?
Hagrid;Get out of my house!
Lucius Malfoy;Believe me I take absolutely no pleasure being inside your...
Lucius Malfoy;You call this a house?
Lucius Malfoy;No.
Lucius Malfoy;I simply called up the school and was told the headmaster was here.
Dumbledore;Well, what exactly is it that you want with me?
Lucius Malfoy;The other governors and I have decided it's time for you to step aside.
Lucius Malfoy;This is an order of suspension.
Lucius Malfoy;You'll find all 12 signatures on it.
Lucius Malfoy;I'm afraid we feel you've rather lost your touch.
Lucius Malfoy;Well, what, with all these attacks there'll be no Muggle-borns left at Hogwarts.
Lucius Malfoy;I can only imagine what an awful loss that would be to the school.
Hagrid;You can't take Professor Dumbledore away.
Hagrid;Take him away and the Muggle-borns won't stand a chance.
Hagrid;You mark my words, there'll be killings next!
Lucius Malfoy;You think so?
Dumbledore;Calm yourself, Hagrid.
Dumbledore;If the governors desire my removal I will, of course, step aside.
Dumbledore;However you will find that help will always be given at Hogwarts to those who ask for it.
Lucius Malfoy;Admirable sentiments.
Lucius Malfoy;Shall we?
Lucius Malfoy;Fudge.
FUDGE;Come, Hagrid.
Hagrid;Well? If...
Hagrid;If anybody was looking for some stuff then all they'd have to do would be to follow the spiders.
Hagrid;Yep. That would lead them right.
Hagrid;That's all I have to say.
Hagrid;And someone will need to feed Fang while I'm away.
FUDGE;Good boy.
Ron;Hagrid's right.
Ron;With Dumbledore gone, there'll be an attack a day.
Harry;Look.
Harry;Come on.
Harry;Come on, Fang.
Harry;Come on.
Ron;What?
Harry;You heard what Hagrid said.
Harry;Follow the spiders.
Ron;They're heading to the Dark Forest.
Ron;"Why spiders? Why couldn't it be ""follow the butterflies""?"
Ron;Harry, I don't like this.
Ron;Harry, I don't like this at all.
Harry;Shush!
Ron;Can we go back now?
Harry;Come on.
Aragog;Who is it?
Harry;Don't panic.
Aragog;Hagrid?
Aragog;Is that you?
Harry;We're friends of Hagrid's.
Harry;And you?
Harry;You're Aragog, aren't you?
Aragog;Yes.
Aragog;Hagrid has never sent men into our hollow before.
Harry;He's in trouble. Up at the school, there have been attacks.
Harry;They think it's Hagrid.
Harry;They think he opened the Chamber of Secrets. Like before.
Aragog;That's a lie.
Aragog;Hagrid never opened the Chamber of Secrets.
Harry;Then you're not the monster?
Aragog;No.
Aragog;The monster was born in the castle.
Aragog;I came to Hagrid from a distant land in the pocket of a traveler.
Ron;Harry.
Harry;But if you're not the monster, then what did kill that girl 50 years ago?
Aragog;We do not speak of it.
Aragog;It is an ancient creature we spiders fear above all others.
Harry;But have you seen it?
Aragog;I never saw any part of the castle but the box in which Hagrid kept me.
Aragog;The girl was discovered in a bathroom.
Aragog;When I was accused, Hagrid brought me here.
Ron;Harry!
Harry;What?
Harry;Well, thank you.
Harry;We'll just go.
Aragog;Go?
Aragog;I think not.
Aragog;My sons and daughters do not harm Hagrid on my command.
Aragog;But I cannot deny them fresh meat when it wanders so willingly into our midst.
Aragog;Goodbye, friend of Hagrid.
Ron;Can we panic now?
Ron;Know any spells?
Harry;One, but it's not powerful enough for all of them.
Ron;Where's Hermione when you need her?
Harry;Let's go!
Harry;Arania Exumai!
Harry;Go!
Ron;Glad we're out of there.
Harry;Arania Exumai!
Ron;Thanks for that.
Harry;Don't mention it.
Harry;Get us out of here.
Harry;Now!
Harry;Come on!
Harry;Come on, move faster!
Harry;Come on! Go!
Harry;Get us in the air.
Ron;The flying gear's jammed!
Harry;Come on! Pull!
Ron;I'm trying!
Ron;Follow the spiders!
Ron;Follow the spiders.
Ron;If Hagrid ever gets out of Azkaban, I'll kill him.
Ron;I mean, what was the point of sending us in there?
Ron;What have we found out?
Harry;We know one thing.
Harry;Hagrid never opened the Chamber of Secrets.
Harry;He was innocent.
Harry;Wish you were here, Hermione.
Harry;We need you.
Harry;Now more than ever.
Ron;What's that?
Harry;Ron...
Harry;This is why Hermione was in the library the day she was attacked.
Harry;Come on.
Harry;"Of the many fearsome beasts that roam our land none is more deadly than the basilisk."
Harry;Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.
Harry;Spiders flee before it.
Harry;Ron, this is it.
Harry;The monster in the Chamber of Secrets is a basilisk.
Harry;That's why I can hear it speak.
Harry;It's a snake.
Ron;But if it kills by looking people in the eye, why is it no one's dead?
Harry;Because no one did look it in the eye.
Harry;Not directly, at least.
Harry;Colin saw it through his camera.
Harry;Justin... Justin must have seen the basilisk through Nearly Headless Nick.
Harry;Nick got the full blast of it.
Harry;But he's a ghost, he couldn't die again.
Harry;And Hermione had the mirror.
Harry;I bet you she was using it to look around corners in case it came along.
Ron;And Mrs. Norris?
Ron;I'm pretty sure she didn't havea camera or a mirror, Harry.
Harry;The water.
Harry;There was water on the floor that night.
Harry;She only saw the basilisk's reflection.
Harry;Spiders flee before it.
Harry;It all fits.
Ron;How's a basilisk been getting around?
Ron;A dirty, great snake.
Ron;Someone would have seen it.
Harry;Hermione's answered that too.
Ron;Pipes? It's using the plumbing.
Harry;Remember what Aragog said about that girl 50 years ago?
Harry;She died in a bathroom?
Harry;What if she never left?
Ron;Moaning Myrtle.
Mcgonagall;All students are to return to their house dormitories at once.
Mcgonagall;All teachers to the second-floor corridor immediately.
Mcgonagall;As you can see, the Heir of Slytherin has left another message.
Mcgonagall;Our worst fear has been realized.
Mcgonagall;A student has been taken by the monster into the Chamber itself.
Mcgonagall;The students must be sent home.
Mcgonagall;I'm afraid this is the end of Hogwarts.
Gilderoy Lockhart;So sorry. Dozed off.
Gilderoy Lockhart;What have I missed?
Snape;A girl has been snatched by the monster, Lockhart. 
Snape;Your moment has come at last.
Gilderoy Lockhart;My moment?
Snape;Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?
Mcgonagall;That's settled. 
Mcgonagall;We'll leave you to deal with the monster, Gilderoy.
Mcgonagall;Your skills, after all, are legend.
Gilderoy Lockhart;Very well.
Gilderoy Lockhart;I'll just be in my office getting...
Gilderoy Lockhart;Getting ready.
Madam Pomfrey;Who is it that the monster's taken, Minerva?
Mcgonagall;Ginny Weasley.
Ron;Her skeleton will lie in the Chamber forever.
Ron;Ginny.
Harry;Lockhart may be useless, but he's going to try and get into the Chamber.
Harry;At least we can tell him what we know.
Harry;Professor, we have some information for you.
Harry;Are you going somewhere?
Gilderoy Lockhart;Well, yes. Urgent call. Unavoidable.
Gilderoy Lockhart;Got to go.
Ron;What about my sister?
Gilderoy Lockhart;Well… Aemm…
Gilderoy Lockhart;As to that, most unfortunate.
Gilderoy Lockhart;No one regrets more than I.
Ron;You're the Defense Against the Dark Arts teacher. 
Ron;You can't go now.
Gilderoy Lockhart;I must say, when I took the job, there was nothing in the description...
Harry;You're running away?
Harry;After all you did in your books?
Gilderoy Lockhart;Books can be misleading.
Harry;You wrote them.
Gilderoy Lockhart;My dear boy, use your common sense.
Gilderoy Lockhart;My books wouldn't have sold as well if people didn't think I'd done those things.
Harry;You're a fraud.
Harry;You've been taking credit for what other wizards have done.
Ron;Is there anything you can do?
Gilderoy Lockhart;Yes, now you mention it.
Gilderoy Lockhart;I'm rather gifted with Memory Charms.
Gilderoy Lockhart;Otherwise, all those wizards would have gone blabbing.
Gilderoy Lockhart;I'd never have sold another book.
Gilderoy Lockhart;In fact, I'm going to have to do the same to you.
Harry;Don't even think about it.
Moaning Myrtle;Who's there?
Moaning Myrtle;Hello, Harry.
